Day,Date,Phase,Platform,Post_Type,Pillar,Best_Time_ET,Priority,Hook_First_3s,Caption,Asset_Description,CTA,Hashtags
56,,AFTERSHOCK,IG Reel,Behind-the-Video AI,False Reality,Wed/Thu 6-9pm ET,MED,Studio/recording AI frame 1,lotus sessions.,"AI BTS — fake recording moment, mythology builder",,#papilotus #darkrnb #afterhours
56,,AFTERSHOCK,TikTok,Behind-the-Video AI,False Reality,Tue/Thu 7-9pm ET,MED,Same studio AI,lotus sessions.,Cross-post,,#papilotus #darkrnb #afterhours
56,,AFTERSHOCK,IG Story,Question Box,Cinematic Identity,7-9pm ET (same day),MED,Two-image split,which scene felt like you?,Two scene options + question sticker,,
57,,AFTERSHOCK,TikTok,Sped-Up Edit,Song Loop,Tue/Thu 7-9pm ET,MED,Fast-cut energy frame 1,the version that lives in my head.,Sped-up hook for energy — pairs with night drive footage,save this,#papilotus #afterhours #nightdrive
57,,AFTERSHOCK,YT Shorts,Sped-Up Edit,Song Loop,Fri 4-7pm ET,MED,Same sped-up,the version that lives in my head.,Same edit,,#papilotus #darkrnb #newmusic
58,,AFTERSHOCK,IG Feed,Fake Magazine #2,False Reality,Tue-Thu 7-9pm ET,MED,n/a,MOTEL SAINT. post-release feature.,AI editorial cover — post-release fake feature,,#papilotus #afterhours #nightdrive
58,,AFTERSHOCK,TikTok,Hook Loop — New Bg,Song Loop,Tue/Thu 7-9pm ET,MED,Rainy church / red room hybrid frame 1,this still hits.,New AI background — keep song alive after release,save this,#papilotus #afterhours #nightdrive
59,,AFTERSHOCK,TikTok,Comment Reply Clip,Cinematic Identity,Tue/Thu 7-9pm ET,HIGH,Top comment screenshot + new AI bg behind,for whoever said this part hurt.,REPLY to top comment with a new AI background using same hook. Reaction format = +33% share rate.,,#papilotus #darkrnb #afterhours
59,,AFTERSHOCK,IG Reel,Comment Reply Clip,Cinematic Identity,Wed/Thu 6-9pm ET,MED,Same reaction format,for whoever said this part hurt.,Cross-post,,#papilotus #darkrnb #afterhours
60,,AFTERSHOCK,IG Feed,Next Era Tease,Cinematic Identity,Tue-Thu 7-9pm ET,HIGH,n/a — different palette accent than usual,next signal incoming.,"AI portrait — slightly shifted mood, hints at next era. New palette accent.",,#papilotus #afterhours #nightdrive
60,,AFTERSHOCK,TikTok,Best Aftershock Clip,Song Loop,Tue/Thu 7-9pm ET,MED,Best aftershock first frame,lotus season continues.,Best-performing aftershock clip — duplicated with new first frame,save this,#papilotus #afterhours #nightdrive
60,,AFTERSHOCK,IG Story,Next Era Tease,Controlled Mystery,7-9pm ET (same day),MED,Different palette frame,no caption,Cryptic frame hinting at next era,,
